Country,revenue,orders,customers,units_sold,revenue_share
United Kingdom,60857.56,2512,1237,30633,0.2820804130126881
Netherlands,18372.52,47,6,12281,0.08515832757152723
Australia,12694.51,35,8,6666,0.05884022665045558
Japan,12596.65,17,8,9915,0.05838663650951957
EIRE,12173.06,169,4,6226,0.05642325772555182
Sweden,11306.84,29,8,10789,0.05240824799857869
France,8780.35,187,66,5331,0.04069773343518794
Germany,8711.880000000001,204,70,4427,0.0403803686594891
Hong Kong,7817.43,10,1,1147,0.03623451027444706
Singapore,6718.17,6,1,1018,0.031139338617740358
Denmark,5963.09,16,8,2700,0.02763947305859503
Finland,5001.33,33,11,2764,0.023181626605022407
Channel Islands,4221.92,22,8,1834,0.019568989248115242
Spain,4169.9400000000005,64,25,1822,0.01932805714586863
Switzerland,3334.26,41,22,1942,0.015454603140377063
Portugal,3217.38,43,20,1676,0.01491285354225116
Italy,3187.02,28,13,1146,0.014772132137399155
Austria,3183.54,17,11,1466,0.014756002015894379
Norway,3038.09,28,9,1611,0.014081827828288181
Belgium,2651.89,68,23,1480,0.012291755148649034
Poland,2532.19,19,6,1316,0.0117369345899934
Israel,1774.94,8,4,882,0.008227010880369517
Cyprus,1756.41,12,7,1241,0.008141122618448975
Canada,1695.81,6,4,1203,0.007860236019831334
Greece,1586.38,5,4,564,0.0073530178599843345
Iceland,1473.09,7,1,853,0.006827908243525713
Unspecified,1114.97,13,5,686,0.005167988958097513
Malta,1066.96,4,2,277,0.0049454581726250234
USA,703.23,5,4,361,0.003259536018908952
European Community,672.45,3,1,235,0.0031168678752546463
United Arab Emirates,669.8,2,2,186,0.003104584880430607
Czech Republic,659.9399999999999,2,1,551,0.0030588828695004102
Bahrain,496.14,3,3,178,0.002299654736603227
Lithuania,469.5,2,1,166,0.00217617587542874
Brazil,461.70000000000005,1,1,134,0.0021400221548145888
Lebanon,294.08,1,1,84,0.0013630879690012434
RSA,174.49,1,1,63,0.0008087772705081169
Saudi Arabia,145.92,1,1,80,0.0006763526810278205
