month,revenue,orders,customers,units_sold,revenue_share
2010-12-01,19327.2,249,178,10747,0.08958335757100394
2011-01-01,16890.08,239,183,9173,0.07828708121418841
2011-02-01,15106.15,259,201,7960,0.07001840085326488
2011-03-01,21696.52,302,232,9803,0.10056537466401953
2011-04-01,14015.08,257,203,8506,0.06496119060320305
2011-05-01,15697.07,297,232,9492,0.07275736964625393
2011-06-01,13761.21,292,221,9104,0.06378447969906013
2011-07-01,12274.74,270,203,6900,0.056894553919404
2011-08-01,16052.81,289,224,9358,0.07440625741180242
2011-09-01,16863.48,327,247,8549,0.07816378775670937
2011-10-01,25384.510000000002,327,250,11160,0.11765954903424838
2011-11-01,16614.0,349,255,8625,0.0770074249081429
2011-12-01,12062.58,214,183,6557,0.055911172718699075
